arena,source,speaker,party,house,date,text_length,vader_label,vader_score,distilbert_label,distilbert_score,sentiment_label,sentiment_score,dominant_topic,dominant_frame,frame_utopian,frame_dystopian,frame_regulatory,frame_economic,frame_ethical,text_preview
parliament,ParlaMint,Valerian Bernard Freyberg,Crossbench,Lords,2020-01-09,4236,POSITIVE,0.9948,POSITIVE,0.9916424751281738,POSITIVE,0.993221237564087,4,economic_industrial,2,1,2,4,4,"My Lords, I wish to restrict my remarks on the gracious Speech to health. With a new year and a new Government, I thought it an appropriate moment briefly to discuss trust and transparency in the cont"
parliament,ParlaMint,Timothy Francis Clement-Jones,Liberal Democrat,Lords,2020-01-09,4330,POSITIVE,0.9786,NEGATIVE,-0.9946511387825012,NEUTRAL,-0.008025569391250598,7,economic_industrial,1,2,6,9,2,"My Lords, since we have just had the 12 days of Christmas, I want to use my five minutes to suggest 12 digital priorities for action by this new Government in the context of the Queen’s Speech—I will "
parliament,ParlaMint,Kate Rock,Conservative,Lords,2020-01-09,4213,POSITIVE,0.9981,POSITIVE,0.9994394183158875,POSITIVE,0.9987697091579437,4,economic_industrial,5,1,0,9,2,"My Lords, this Queen’s Speech is our first and best chance to set out what kind of country we are going to be outside the European Union. It is our chance to remind investors, businesses, workers and "
parliament,ParlaMint,Robert William Henry Seely,Conservative,Commons,2020-01-13,8514,POSITIVE,0.9968,POSITIVE,0.9955717325210571,POSITIVE,0.9961858662605285,4,economic_industrial,3,4,0,5,1,"I believe that I am the last speaker—last, but hopefully not least—and I shall, out of respect for my colleagues, keep to within the 10-minute limit. I wish to talk about foreign affairs and a little "
parliament,ParlaMint,John Seymour,Crossbench,Lords,2020-01-13,4101,NEUTRAL,0.0,NEGATIVE,-0.9768461585044861,NEGATIVE,-0.48842307925224304,4,dystopian_risk,1,2,0,2,1,"My Lords, while acknowledging the considerable majority that the Conservatives obtained in the recent general election, largely fought over Brexit, it is worth reiterating the point made last Tuesday "
parliament,ParlaMint,Timothy Kirkhope,Conservative,Lords,2020-01-13,4247,POSITIVE,0.9751,POSITIVE,0.9792512655258179,POSITIVE,0.9771756327629089,3,utopian_opportunity,2,0,1,2,1,"My Lords, my contribution this evening will be more about what is not in the Bill than what is in it. With so many speeches, I am bound to repeat what someone has said or will say. I also make it clea"
parliament,ParlaMint,David Michael Davis,Conservative,Commons,2020-01-14,3390,POSITIVE,0.9977,NEGATIVE,-0.934287428855896,NEUTRAL,0.03170628557205202,4,economic_industrial,1,0,0,5,0,"Productivity had been at that level for 60 years. It is not difficult to keep things the same as they were before; the really hard thing is to smash productivity down from 2.3% to 0.5%, which is what "
parliament,ParlaMint,David Michael Davis,Conservative,Commons,2020-01-14,6292,POSITIVE,0.9959,NEGATIVE,-0.9839741587638855,NEUTRAL,0.005962920618057255,4,economic_industrial,3,0,1,4,0,"My point here is that we are not about tinkering with one or two rules. We should be rethinking the whole system. The hon. Lady will forgive me if I do not go down the route that she has laid for me, "
parliament,ParlaMint,Ben Everitt,Conservative,Commons,2020-01-14,8130,POSITIVE,0.98,POSITIVE,0.9996689558029175,POSITIVE,0.9898344779014587,4,economic_industrial,3,0,1,8,0,"Thank you very much, Madam Deputy Speaker. It is a genuine honour to rise to give my first speech and to speak for the first time representing my 91,555 electors. Rising for the first time gives me th"
parliament,ParlaMint,Susan Williams,Conservative,Lords,2020-01-14,3351,POSITIVE,0.9672,POSITIVE,0.9728735685348511,POSITIVE,0.9700367842674256,3,utopian_opportunity,2,2,0,0,1,"My Lords, I would not agree with two systems because that really would confuse people. If I could get to the end of my comments, I would be grateful. The scheme already allows EU citizens protected by"
parliament,ParlaMint,Paul Scriven,Liberal Democrat,Lords,2020-01-14,108,NEGATIVE,-0.0516,NEGATIVE,-0.995358407497406,NEGATIVE,-0.523479203748703,3,unclassified,0,0,0,0,0,The Data Protection Act protects all data whether written or digital. Therefore the argument is nonsensical.
parliament,ParlaMint,Sarah Ludford,Liberal Democrat,Lords,2020-01-14,197,POSITIVE,0.4577,NEGATIVE,-0.9961674809455872,NEGATIVE,-0.2692337404727936,3,unclassified,0,0,0,0,0,I think my noble friend is forgetting that immigration data is not protected under the Data Protection Act put through last year or the year before. I think there is litigation going on about that.
parliament,ParlaMint,Andrea Jacqueline Leadsom,Conservative,Commons,2020-01-15,1158,POSITIVE,0.9913,POSITIVE,0.9960662722587585,POSITIVE,0.9936831361293792,4,utopian_opportunity,2,0,0,2,0,"I will make more progress before I give way again From fighting climate change across the world to backing British ideas, we need a thriving economy to pay for it all. That is why I have set out my De"
parliament,ParlaMint,Victoria Grace Ford,Conservative,Commons,2020-01-15,483,POSITIVE,0.9313,POSITIVE,0.9964163303375244,POSITIVE,0.9638581651687622,4,utopian_opportunity,2,0,0,0,0,"I will keep going, because I have only a short time. I will not take any more interventions We need to make sure that we can use smart demand management, using AI and technology. I have seen at first "
parliament,ParlaMint,Nicola Blackwood,Conservative,Lords,2020-01-15,717,POSITIVE,0.9804,POSITIVE,0.9927294850349426,POSITIVE,0.9865647425174713,4,utopian_opportunity,3,0,0,1,0,My noble friend is a great advocate of investment in innovation and technology—and for good reason. One of the health infrastructure plan’s key priorities is ensuring that we bring forward the data an
parliament,ParlaMint,Robert Stevenson,Labour,Lords,2020-01-15,5733,POSITIVE,0.9961,POSITIVE,0.9974908828735352,POSITIVE,0.9967954414367676,3,regulatory_governance,0,1,5,3,4,"My Lords, Amendment 32 is in my name and I thank the noble Baroness, Lady Ludford, for her support. I am also pleased to see the new Secretary of State in her place. Although I think she will not resp"
parliament,ParlaMint,Sarah Ludford,Liberal Democrat,Lords,2020-01-15,5550,POSITIVE,0.9812,POSITIVE,0.9596501588821411,POSITIVE,0.9704250794410705,3,ethical_rights,1,2,1,4,5,"My Lords, I support this amendment, of which I am a co-signatory. I very much agree with what the noble Lord, Lord Stevenson, said, though I fear I might add a few questions for the Minister. As he sa"
parliament,ParlaMint,Diana Barran,Conservative,Lords,2020-01-15,3709,POSITIVE,0.9964,POSITIVE,0.9979779124259949,POSITIVE,0.9971889562129974,3,utopian_opportunity,3,0,3,3,1,"I thank the noble Lord, Lord Stevenson, and the noble Baroness, Lady Ludford, for this amendment, which seeks to add additional scrutiny to the data adequacy assessment process by introducing a bespok"
parliament,ParlaMint,Diana Barran,Conservative,Lords,2020-01-15,3164,POSITIVE,0.9912,NEGATIVE,-0.9782428741455078,NEUTRAL,0.006478562927246079,3,utopian_opportunity,1,0,1,0,0,"As the noble Baroness understands very well, the adequacy discussions will be broader than strictly personal data and data protection, and will cover these issues. It will be our role to explain to an"
parliament,ParlaMint,Robin Janvrin,Crossbench,Lords,2020-01-16,4322,NEGATIVE,-0.0927,POSITIVE,0.9934520721435547,POSITIVE,0.45037603607177734,4,regulatory_governance,0,1,2,1,2,"My Lords, I thank the noble Lord, Lord Hodgson, for introducing this timely short debate. I will speak briefly about the importance of Parliament being able to scrutinise government decisions on the u"
parliament,ParlaMint,Denis Tunnicliffe,Labour,Lords,2020-01-16,4149,NEGATIVE,-0.9895,POSITIVE,0.9839492440223694,NEUTRAL,-0.0027753779888153307,4,dystopian_risk,1,4,4,0,2,"My Lords, I thank the noble Lord, Lord Hodgson, for securing today’s important debate. I have been watching developments between the US and Iran with great concern, as we all have. First, I stress the"
parliament,ParlaMint,Annabel Goldie,Conservative,Lords,2020-01-16,3092,POSITIVE,0.9969,POSITIVE,0.9965364933013916,POSITIVE,0.9967182466506959,4,dystopian_risk,1,2,2,0,0,"I was just about to observe that the process applies to both UK strikes and those conducted by another nation. However, I am not sure whether it has been used. I shall have to take that back and write"
parliament,ParlaMint,David Michael Davis,Conservative,Commons,2020-01-20,684,POSITIVE,0.7102,NEGATIVE,-0.998548686504364,NEGATIVE,-0.14417434325218198,7,economic_industrial,0,0,0,1,1,The Secretary of State started topical questions by describing the improper release of 28 million records of students and schoolchildren. That serious breach of privacy and data protection was made ev
parliament,ParlaMint,Julian Carlton Knight,Unknown,Commons,2020-01-20,381,POSITIVE,0.8402,POSITIVE,0.9978645443916321,POSITIVE,0.919032272195816,4,economic_industrial,0,0,0,1,0,"On my right hon. Friend’s point about investing in new technology and in the future, will he confirm that the Government remain committed to the 2018 automotive sector deal on funding for research int"
parliament,ParlaMint,Susan Williams,Conservative,Lords,2020-01-20,5629,POSITIVE,0.9712,NEGATIVE,-0.9926683306694031,NEUTRAL,-0.010734165334701562,3,utopian_opportunity,1,0,1,0,1,I totally agree with my noble friend Lord Ridley. His point about ID card creep is also part of this point. It is exactly what happened to the Windrush generation. The Government are adamant that we m
parliament,ParlaMint,Andrea Jacqueline Leadsom,Conservative,Commons,2020-01-21,1154,POSITIVE,0.9898,POSITIVE,0.999546468257904,POSITIVE,0.994673234128952,4,economic_industrial,1,0,0,4,0,"With your permission, Mr Speaker, I will first talk about my departmental priorities As we enter an exciting new decade, we are building a stronger, greener United Kingdom. To achieve that, my Departm"
parliament,ParlaMint,Christopher James Skidmore,Conservative,Commons,2020-01-21,666,POSITIVE,0.9517,POSITIVE,0.9988669157028198,POSITIVE,0.9752834578514099,4,utopian_opportunity,1,0,0,1,0,"I start by thanking my hon. Friend for all the hard work he is putting in as the Government’s envoy for the “Engineering: Take a Closer Look” campaign, which is encouraging young people to consider sc"
parliament,ParlaMint,Matthew Robert Warman,Conservative,Commons,2020-01-22,1597,POSITIVE,0.9881,POSITIVE,0.9983158111572266,POSITIVE,0.9932079055786133,4,utopian_opportunity,4,1,0,1,0,"Absolutely. My hon. Friend will know that the single greatest barrier to rolling out in the final 20% of the country is the risk of overbuild, which makes roll-out uneconomic and potentially makes usi"
parliament,ParlaMint,Chinyelu Susan Onwurah,Labour,Commons,2020-01-22,1569,NEGATIVE,-0.9766,NEGATIVE,-0.9972168207168579,NEGATIVE,-0.9869084103584289,4,utopian_opportunity,1,1,1,1,1,"My hon. Friend has made another important point. Notspots do happen, even in city centres. There are householders who can see Canary Wharf from their windows, but cannot connect with its broadband net"
parliament,ParlaMint,Robert Mair,Crossbench,Lords,2020-01-23,7453,POSITIVE,0.9827,POSITIVE,0.9783249497413635,POSITIVE,0.9805124748706817,4,utopian_opportunity,6,0,2,4,0,"My Lords, I declare my interests and draw attention to the register. As Professor of Civil Engineering at the University of Cambridge and a practising consultant, I have given specialist engineering a"
parliament,ParlaMint,Robert William Henry Seely,Conservative,Commons,2020-01-27,897,POSITIVE,0.2846,NEGATIVE,-0.999447762966156,NEGATIVE,-0.357423881483078,4,dystopian_risk,0,2,0,0,2,"Why is it argued that we can limit Huawei to the periphery of the network, when Australia and the United States do not agree and when the head of Australia’s cyber-agency says that “the distinction be"
parliament,ParlaMint,Sarah Jane Olney,Liberal Democrat,Commons,2020-01-27,161,POSITIVE,0.2023,NEGATIVE,-0.995318591594696,NEGATIVE,-0.396509295797348,7,dystopian_risk,0,1,0,0,0,(Urgent Question): To ask the Secretary of State for the Home Department if she will make a statement on police use of automated facial recognition surveillance.
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,2193,NEGATIVE,-0.807,POSITIVE,0.7878949642181396,NEUTRAL,-0.009552517890930201,7,regulatory_governance,1,2,3,0,3,The Government are supporting the police and empowering them with the tools they need to deliver on the people’s priorities by cutting the crime that is blighting our communities. We have already pled
parliament,ParlaMint,Sarah Jane Olney,Liberal Democrat,Commons,2020-01-27,1612,POSITIVE,0.7502,NEGATIVE,-0.9968394041061401,NEGATIVE,-0.12331970205307008,7,ethical_rights,0,2,0,1,4,We must not allow the UK to become a society in which innocent people feel as though their every movement is being watched by the police. We must not throw away UK citizens’ right to privacy or their 
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,2344,POSITIVE,0.8957,POSITIVE,0.9597672820091248,POSITIVE,0.9277336410045625,7,ethical_rights,0,1,0,0,2,The hon. Lady rightly raises a number of issues that need to be addressed in the operation of this technology. I assume she is referring to last year’s statement by the Information Commissioner’s Offi
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,558,NEGATIVE,-0.128,NEGATIVE,-0.9901881814002991,NEGATIVE,-0.5590940907001496,7,ethical_rights,0,0,0,0,1,"In his usual pithy manner, my right hon. Friend puts his finger on the button. As Members will know, the police have used facial recognition since their establishment. There is an analogue version—a w"
parliament,ParlaMint,Diane Julie Abbott,Labour,Commons,2020-01-27,1145,NEGATIVE,-0.9112,NEGATIVE,-0.9992031455039978,NEGATIVE,-0.9552015727519989,7,regulatory_governance,1,1,2,0,0,"Facial recognition technology is potentially an important crime-fighting tool, but not without the correct safeguards, and the Minister has failed to persuade the House thus far that all the correct s"
parliament,ParlaMint,Robert Butler,Conservative,Commons,2020-01-27,236,POSITIVE,0.0516,NEGATIVE,-0.9899576306343079,NEGATIVE,-0.46917881531715394,7,regulatory_governance,0,0,1,0,0,"Will my hon. Friend explain how the proportionate use of facial recognition technology could help to tackle the offences, such as county lines drug offending, that are the scourge of many communities,"
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,811,NEGATIVE,-0.6969,POSITIVE,0.9919145107269287,POSITIVE,0.14750725536346437,7,regulatory_governance,0,1,2,0,0,"My hon. Friend raises an extremely important point. The British people want to see the technology used, as he rightly says, in a proportionate way. It is certainly the intention that live facial recog"
parliament,ParlaMint,Joanna Catherine Cherry,SNP,Commons,2020-01-27,1421,POSITIVE,0.9124,NEGATIVE,-0.7922735810279846,POSITIVE,0.060063209486007685,7,ethical_rights,0,4,3,0,5,"As we have heard, there are huge concerns about the impact of automated facial recognition technology on privacy and freedoms such as the freedom of assembly, and about the danger of bias and discrimi"
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,950,POSITIVE,0.7859,POSITIVE,0.9717931747436523,POSITIVE,0.8788465873718262,7,utopian_opportunity,1,0,1,0,0,"The identification of individuals at large, by any method, is a standard policing technique—whether it is done by a human, a machine or, indeed, a member of the public—so increasing its effectiveness "
parliament,ParlaMint,Darren Paul Jones,Labour,Commons,2020-01-27,567,POSITIVE,0.7261,NEGATIVE,-0.9983866214752197,NEGATIVE,-0.13614331073760988,4,regulatory_governance,0,0,1,0,0,"I welcome you to your place, Madam Deputy Speaker. I have not yet had the chance to congratulate you on your new role In the previous Parliament, the Science and Technology Committee looked at this is"
parliament,ParlaMint,Chinyelu Susan Onwurah,Labour,Commons,2020-01-27,383,POSITIVE,0.1027,NEGATIVE,-0.9930363297462463,NEGATIVE,-0.44516816487312316,7,regulatory_governance,0,0,1,0,0,"Like all artificial intelligence, and unlike the spotter in a football crowd that the Minister cites, facial recognition technology automates the prejudices of those who design it and the limitations "
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,686,POSITIVE,0.34,POSITIVE,0.8567885160446167,POSITIVE,0.5983942580223084,7,dystopian_risk,1,2,1,0,0,"My hon. Friend, in his usual way, raises an extremely important point. It is worth reiterating that there is no intention of our having random surveillance using live facial recognition. The deploymen"
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,597,POSITIVE,0.9136,POSITIVE,0.9990912675857544,POSITIVE,0.9563456337928772,4,unclassified,0,0,0,0,0,"I am grateful to my right hon. Friend for his question, which points to the heart of the matter. As he knows, there is a facial recognition and biometrics board, which is soon to have a new chair. As "
parliament,ParlaMint,Christopher Laurie Malthouse,Conservative,Commons,2020-01-27,892,NEGATIVE,-0.2812,POSITIVE,0.8213751316070557,POSITIVE,0.27008756580352783,7,regulatory_governance,0,0,1,0,0,"No, it is not right. The hon. Gentleman is incorrect to say that there is no legal framework, and in saying that he disagrees with the High Court, which only last year certified in a case that there w"
parliament,ParlaMint,Geraint Richard Davies,Labour,Commons,2020-01-27,522,NEGATIVE,-0.4939,NEGATIVE,-0.9925885200500488,NEGATIVE,-0.7432442600250244,7,dystopian_risk,0,1,0,0,0,We are aware that facial recognition is used in Xinjiang in China for mass oppression through mass surveillance. People who oppose war or the climate crisis are concerned that their assembly will be s
parliament,ParlaMint,Jonathan Simon Djanogly,Conservative,Commons,2020-01-27,626,POSITIVE,0.8663,NEGATIVE,-0.9602423310279846,NEUTRAL,-0.04697116551399233,7,ethical_rights,0,0,1,0,3,"There are clearly data privacy and human rights issues bound up with facial recognition technology, which I admit will be very useful for solving crimes. However, technology moves on quickly, and it i"
parliament,ParlaMint,Richard Quentin Fuller,Conservative,Commons,2020-01-27,633,POSITIVE,0.6705,NEGATIVE,-0.979802668094635,NEGATIVE,-0.1546513340473175,4,utopian_opportunity,1,1,0,0,0,"The usual prize—thank you, Madam Deputy Speaker The hon. Member for Newcastle upon Tyne Central (Chi Onwurah) made an important point. The embedding of bias in technology is a major issue that will wo"
parliament,ParlaMint,Matthew John David Hancock,Unknown,Commons,2020-01-27,421,POSITIVE,0.9764,POSITIVE,0.999363124370575,POSITIVE,0.9878815621852874,4,utopian_opportunity,1,0,0,1,0,"Yes. That just shows how sensible the British people were to elect a majority Conservative Government. The funding will also allow the NHS to invest in innovative technology, such as genomics and arti"
parliament,ParlaMint,Matthew John David Hancock,Unknown,Commons,2020-01-27,704,POSITIVE,0.6705,POSITIVE,0.9981350898742676,POSITIVE,0.8343175449371338,4,utopian_opportunity,1,0,0,0,0,"I want to make as much progress as I can, Madam Deputy Speaker, as I know that many people want to speak Another new addition to the policy agenda that has been brought in by the Prime Minister is tha"
parliament,ParlaMint,Tom McNally,Liberal Democrat,Lords,2020-01-27,7026,POSITIVE,0.9941,POSITIVE,0.9724578261375427,POSITIVE,0.9832789130687714,4,utopian_opportunity,5,1,4,3,1,"My Lords, my noble friend Lady Randerson was unavoidably delayed, although I am pleased that she is now with us. Because of that late arrival, she will not take part in Second Reading and I will open "
parliament,ParlaMint,Timothy Kirkhope,Conservative,Lords,2020-01-27,6650,POSITIVE,0.9887,POSITIVE,0.9934055805206299,POSITIVE,0.991052790260315,4,utopian_opportunity,2,0,1,1,0,"My Lords, in general I welcome the Bill. I declare my interest as a pilot, a former airport board member and chair of the inquiry set up by the All-Party Parliamentary Group on General Aviation last y"
parliament,ParlaMint,Charlotte Vere,Conservative,Lords,2020-01-27,6529,POSITIVE,0.9808,POSITIVE,0.9668099880218506,POSITIVE,0.9738049940109252,4,economic_industrial,2,2,2,3,0,"I thank the noble Baroness for her question. I shall have to write to her because it involves a level of detail into which I cannot go today. I will skip over organisations such as ACOG, which has bee"
parliament,ParlaMint,Susan Williams,Conservative,Lords,2020-01-27,2547,POSITIVE,0.9043,POSITIVE,0.9579229354858398,POSITIVE,0.93111146774292,7,regulatory_governance,1,2,3,0,3,"My Lords, with the leave of the House, I shall repeat in the form of a Statement the Answer given by my honourable friend the Minister for Crime, Policing and the Fire Service in another place on faci"
parliament,ParlaMint,Roy Kennedy,Labour,Lords,2020-01-27,760,POSITIVE,0.9042,NEGATIVE,-0.9813885688781738,NEUTRAL,-0.03859428443908691,7,regulatory_governance,1,0,2,0,2,"My Lords, I thank the Minister for repeating the Answer given to the Urgent Question in the other place today. The Government have promised to empower the police to safely use new technologies within "
parliament,ParlaMint,Timothy Francis Clement-Jones,Liberal Democrat,Lords,2020-01-27,1258,NEGATIVE,-0.3732,NEGATIVE,-0.9877017140388489,NEGATIVE,-0.6804508570194244,7,dystopian_risk,1,2,1,0,2,"My Lords, I confess to being rather baffled by the Government’s agreement to this. Only in September, the Metropolitan Police Commissioner said in the context of live facial recognition technology tha"
parliament,ParlaMint,Jennifer Jones,Green,Lords,2020-01-27,695,NEGATIVE,-0.1761,NEGATIVE,-0.9997531771659851,NEGATIVE,-0.5879265885829925,7,unclassified,0,0,0,0,0,"My Lords, I declare an interest, as I have issued judicial review proceedings against the Home Office and the Metropolitan Police regarding the use of facial recognition technology, about which I have"
parliament,ParlaMint,Dale Norman Campbell-Savours,Labour,Lords,2020-01-27,329,NEGATIVE,-0.8288,NEGATIVE,-0.9859670996665955,NEGATIVE,-0.9073835498332977,7,dystopian_risk,0,1,0,0,0,"My Lords, I strongly welcome the Government’s approach to this matter, but why is facial recognition an acceptable form of identity in the case of surveillance in combating crime yet it, and other per"
parliament,ParlaMint,Susan Williams,Conservative,Lords,2020-01-27,362,POSITIVE,0.8658,POSITIVE,0.9960946440696716,POSITIVE,0.9309473220348359,3,unclassified,0,0,0,0,0,"I like the way the noble Lord got the identity card in; I was wondering when he was going to deploy it. The Question is on AFR, which we can use to identify criminals because it is a unique biometric,"
parliament,ParlaMint,Brian Paddick,Liberal Democrat,Lords,2020-01-27,425,POSITIVE,0.4767,NEGATIVE,-0.9732784628868103,NEGATIVE,-0.24828923144340515,7,unclassified,0,0,0,0,0,"My Lords, I take the Minister back to my noble friend’s question about the Information Commissioner’s Office statement in October 2019, which said: “We reiterate our call for Government to introduce a"
parliament,ParlaMint,Susan Williams,Conservative,Lords,2020-01-27,382,NEGATIVE,-0.2263,POSITIVE,0.638589084148407,POSITIVE,0.2061445420742035,7,regulatory_governance,0,1,2,0,2,"I agree with the noble Lord that the ICO criticised some areas. However, last Friday it acknowledged a number of improvements. LFR is used for a policing purpose; it is used to detect serious criminal"
parliament,ParlaMint,Sarah Ludford,Liberal Democrat,Lords,2020-01-27,428,POSITIVE,0.5661,NEGATIVE,-0.9957025647163391,NEGATIVE,-0.21480128235816953,3,ethical_rights,0,0,0,0,2,"My Lords, the ICO statement of last Friday reiterated the call for the Government to introduce a statutory, binding code of practice, so there has been no change since October. Can the Minister tell u"
parliament,ParlaMint,Matthew John David Hancock,Unknown,Commons,2020-01-28,347,POSITIVE,0.9401,POSITIVE,0.9993613362312317,POSITIVE,0.9697306681156159,4,utopian_opportunity,1,0,0,0,0,Radiotherapy is a good example of part of the NHS that can benefit hugely from improved technology now and from the cutting-edge artificial intelligence-type technologies that are coming down the trac
parliament,ParlaMint,Clive James Charles Betts,Labour,Commons,2020-01-28,638,POSITIVE,0.9408,NEGATIVE,-0.8833351135253906,NEUTRAL,0.028732443237304672,4,utopian_opportunity,1,0,0,0,0,"I am disappointed that the Secretary of State could not come to the opening last Friday of the Advanced Wellbeing Research Centre in my constituency, which is looking at linking research into the prev"
parliament,ParlaMint,Timothy Francis Clement-Jones,Liberal Democrat,Lords,2020-01-28,294,POSITIVE,0.4939,NEGATIVE,-0.9249395728111267,NEGATIVE,-0.21551978640556335,3,regulatory_governance,0,0,3,0,1,"To ask Her Majesty’s Government what assessment they have made of compliance by the National Health Service with (1) the General Data Protection Regulation, (2) the Data Ethics Framework, and (3) the "
parliament,ParlaMint,James Bethell,Conservative,Lords,2020-01-28,560,POSITIVE,0.9493,NEGATIVE,-0.5887392163276672,POSITIVE,0.1802803918361664,3,regulatory_governance,0,0,3,0,2,"My Lords, the Government are optimistic that thoughtful use of data can improve outcomes, but we are determined to protect the interests and rights of patients. That is why the Department of Health an"
parliament,ParlaMint,Timothy Francis Clement-Jones,Liberal Democrat,Lords,2020-01-28,839,POSITIVE,0.9784,NEGATIVE,-0.9989907145500183,NEUTRAL,-0.010295357275009132,4,regulatory_governance,1,1,2,0,0,"My Lords, I hope that the Minister has been celebrating Data Protection Day today. We received very similar assurances during the passage of the Data Protection Bill but we now know that GP patient da"
parliament,ParlaMint,James Bethell,Conservative,Lords,2020-01-28,757,POSITIVE,0.9792,NEGATIVE,-0.6623362898826599,POSITIVE,0.15843185505867002,4,regulatory_governance,0,0,2,0,0,"I wish all noble Lords a happy Data Protection Day, and it is a wonderful day to celebrate it. On the questions raised by the noble Lord, I reassure the House that the Government are absolutely concer"
parliament,ParlaMint,James Bethell,Conservative,Lords,2020-01-28,494,POSITIVE,0.9571,POSITIVE,0.9994389414787292,POSITIVE,0.9782694707393647,4,regulatory_governance,0,0,3,0,0,The noble Baroness is absolutely right to emphasise the value of the data. We are blessed in Britain with one of the largest datasets in the entire world. Enormous work has been put into crafting the 
parliament,ParlaMint,George Young,Conservative,Lords,2020-01-28,7805,POSITIVE,0.99,NEGATIVE,-0.9917044639587402,NEUTRAL,-0.0008522319793701216,4,economic_industrial,3,1,3,4,0,"My Lords, I wish to make a brief contribution to this Second Reading debate and, like others, I welcome the provisions in the Bill. I wish my noble friend well in piloting it through your Lordships’ H"
